ValueDate,TheValue
09/04/2018,6.5
06/04/2018,6.5
05/04/2018,6.5
04/04/2018,6.5
03/04/2018,6.5
29/03/2018,6.5
28/03/2018,6.75
27/03/2018,6.75
26/03/2018,6.75
23/03/2018,6.75
22/03/2018,6.75
20/03/2018,6.75
19/03/2018,6.75
16/03/2018,6.75
15/03/2018,6.75
14/03/2018,6.75
13/03/2018,6.75
12/03/2018,6.75
09/03/2018,6.75
08/03/2018,6.75
07/03/2018,6.75
06/03/2018,6.75
05/03/2018,6.75
02/03/2018,6.75
01/03/2018,6.75
28/02/2018,6.75
27/02/2018,6.75
26/02/2018,6.75
23/02/2018,6.75
22/02/2018,6.75
21/02/2018,6.75
20/02/2018,6.75
19/02/2018,6.75
16/02/2018,6.75
15/02/2018,6.75
14/02/2018,6.75
13/02/2018,6.75
12/02/2018,6.75
09/02/2018,6.75
08/02/2018,6.75
07/02/2018,6.75
06/02/2018,6.75
05/02/2018,6.75
02/02/2018,6.75
01/02/2018,6.75
31/01/2018,6.75
30/01/2018,6.75
29/01/2018,6.75
27/01/2018,6.75
26/01/2018,6.75
25/01/2018,6.75
24/01/2018,6.75
23/01/2018,6.75
22/01/2018,6.75
19/01/2018,6.75
18/01/2018,6.75
17/01/2018,6.75
16/01/2018,6.75
15/01/2018,6.75
12/01/2018,6.75
11/01/2018,6.75
10/01/2018,6.75
09/01/2018,6.75
08/01/2018,6.75
05/01/2018,6.75
04/01/2018,6.75
03/01/2018,6.75
02/01/2018,6.75
29/12/2017,6.75
28/12/2017,6.75
27/12/2017,6.75
22/12/2017,6.75
21/12/2017,6.75
20/12/2017,6.75
19/12/2017,6.75
18/12/2017,6.75
15/12/2017,6.75
14/12/2017,6.75
13/12/2017,6.75
12/12/2017,6.75
11/12/2017,6.75
08/12/2017,6.75
07/12/2017,6.75
06/12/2017,6.75
05/12/2017,6.75
04/12/2017,6.75
02/12/2017,6.75
01/12/2017,6.75
30/11/2017,6.75
29/11/2017,6.75
28/11/2017,6.75
27/11/2017,6.75
25/11/2017,6.75
24/11/2017,6.75
23/11/2017,6.75
22/11/2017,6.75
21/11/2017,6.75
20/11/2017,6.75
17/11/2017,6.75
16/11/2017,6.75
15/11/2017,6.75
14/11/2017,6.75
13/11/2017,6.75
10/11/2017,6.75
09/11/2017,6.75
08/11/2017,6.75
07/11/2017,6.75
06/11/2017,6.75
03/11/2017,6.75
02/11/2017,6.75
01/11/2017,6.75
31/10/2017,6.75
30/10/2017,6.75
27/10/2017,6.75
26/10/2017,6.75
25/10/2017,6.75
24/10/2017,6.75
23/10/2017,6.75
20/10/2017,6.75
19/10/2017,6.75
18/10/2017,6.75
17/10/2017,6.75
16/10/2017,6.75
13/10/2017,6.75
12/10/2017,6.75
11/10/2017,6.75
10/10/2017,6.75
09/10/2017,6.75
06/10/2017,6.75
05/10/2017,6.75
04/10/2017,6.75
03/10/2017,6.75
02/10/2017,6.75
30/09/2017,6.75
29/09/2017,6.75
28/09/2017,6.75
27/09/2017,6.75
26/09/2017,6.75
22/09/2017,6.75
21/09/2017,6.75
20/09/2017,6.75
19/09/2017,6.75
18/09/2017,6.75
15/09/2017,6.75
14/09/2017,6.75
13/09/2017,6.75
12/09/2017,6.75
11/09/2017,6.75
08/09/2017,6.75
07/09/2017,6.75
06/09/2017,6.75
05/09/2017,6.75
04/09/2017,6.75
01/09/2017,6.75
31/08/2017,6.75
30/08/2017,6.75
29/08/2017,6.75
28/08/2017,6.75
25/08/2017,6.75
